制服のマネキン,乃木坂46,制服のマネキン,2012
BABYMETALDEATH,BEBYMETAL,BABYMETAL,2014
サイレントマジョリティー,欅坂46,サイレントマジョリティー,2016
M,浜崎あゆみ,M,2000
キュン,日向坂46,キュン,2019
Dejavu,LUNASEA,IMAGE,1992
めぐろ川,miwa,don't cray anymore,2010
DAHLIA,XJAPAN,DAHLIA,1996
ENDLESSRAIN,X,BLUEBLOOD,1989
そばにいるね,青山テルマ,そばにいるね,2008
